Tickers;Desc
ACKO;АСКО ао
AFKS;Система ао
AFLT;Аэрофлот
AGRO;AGRO-гдр
AKRN;Акрон
ALRS;АЛРОСА ао
APTK;Аптеки36и6
AVAZ;АВТОВАЗ ао
AVAZP;АВТОВАЗ ап
BANE;Башнефт ао
BANEP;Башнефт ап
BSPB;БСП ао
CBOM;МКБ ао
CHMF;СевСт-ао
DASB;ДагСб ао
DIXY;ДИКСИ ао
DSKY;ДетскийМир
ENRU;ЭнелРос ао
EPLN;Европлан
FEES;ФСК ЕЭС ао
FESH;ДВМП ао
FTRE;БУДУЩЕЕ ао
GAZP;ГАЗПРОМ ао
GCHE;ЧеркизГ-ао
GMKN;ГМКНорНик
GRNT;ГИТ ао
GTLC;GTL ао
HYDR;РусГидро
IRAO;ИнтерРАОао
IRGZ;ИркЭнерго
KMAZ;КАМАЗ ао
KRKNP;СаратНПЗ-п
LKOH;ЛУКОЙЛ
LNTA;Лента др
LSNGP;Ленэнерг-п
LSRG;ЛСР ао
MAGN;ММК
MFON;МегаФон ао
MGNT;Магнит ао
MOEX;МосБиржа
MRKC;МРСК Центр
MRKP;МРСК ЦП
MRKV;МРСКВол
MSNG;+МосЭнерго
MSRS;МОЭСК
MSTT;Мостотрест
MTLR;Мечел ао
MTLRP;Мечел ап
MTSS;МТС-ао
MVID;М.видео
NKNCP;НКНХ ап
NLMK;НЛМК ао
NMTP;НМТП ао
NVTK;Новатэк ао
ODVA;Медиахолд
OFCB;ОткрФКБ ао
OGKB;ОГК-2 ао
PHOR;ФосАгро ао
PIKK;ПИК ао
PLZL;Полюс
POLY;Polymetal
PRFN;iЧЗПСН ао
PRTK;ПРОТЕК ао
PSBR;Промсвб ао
QIWI;iQIWI
RASP;Распадская
RBCM;РБК ао
RGSS;РГС СК ао
RNFT;РуссНфт ао
ROLO;Русолово
ROSN;Роснефть
RSTI;Россети ао
RSTIP;Россети ап
RTKM;Ростел -ао
RTKMP;Ростел -ап
RUAL;RUSAL plc
RUALR;Русал рдр
SBER;Сбербанк
SBERP;Сбербанк-п
SELG;Селигдар
SELGP;Селигдар-п
SIBN;Газпрнефть
SNGS;Сургнфгз
SNGSP;Сургнфгз-п
SVAV;СОЛЛЕРС
TAER;ТРАНСАЭРао
TATN;Татнфт 3ао
TATNP;Татнфт 3ап
TGKA;ТГК-1
TGKO;ТКЗ ао
TRCN;ТрансК ао
TRMK;ТМК ао
TRNFP;Транснф ап
UNAC;iАвиастКао
UPRO;Юнипро ао
URKA;Уркалий-ао
UWGN;ОВК ао
VSMO;ВСМПО-АВСМ
VTBR;ВТБ ао
YNDX;Yandex clA
ABRD;АбрауДюрсо
AESL;АЭССЕЛЬао
ALBK;БестЭфБ ао
ALNU;АЛРОСА-Нюр
AMEZ;АшинскийМЗ
AQUA;РусАква ао
ARSA;Арсагера
ASSB;АстрЭнСб
AVAN;Авангрд-ао
BISV;БашИнСв ао
BISVP;БашИнСв ап
BLNG;Белон ао
BRZL;БурЗолото
CHEP;ЧТПЗ ао
CHGZ;ЧерногНефт
CHKZ;ЧКПЗ ао
CHMK;ЧМК ао
CHZN;ЧЦЗ ао
CLSB;ЧелябЭС ао
CLSBP;ЧелябЭС ап
CNTL;Телеграф
CNTLP;Телеграф-п
DGBZ;Дорогбж ао
DIOD;iЗаводДИОД
DVEC;ДЭК ао
DZRD;iДонскЗР
DZRDP;iДонскЗР п
ELTZ;Электрцинк
ERCO;ЭРКО ао
FORTP;Форт ап
FXAU;FXAU ETF
FXCN;FXCN ETF
FXDE;FXDE ETF
FXGD;FXGD ETF
FXIT;iFXIT ETF
FXJP;FXJP ETF
FXMM;FXMM ETF
FXRB;FXRB ETF
FXRL;FXRL ETF
FXRU;FXRU ETF
FXUK;FXUK ETF
FXUS;FXUS ETF
GAZA;ГАЗ ао
GAZAP;ГАЗ ап
GAZC;ГАЗКОН-ао
GAZS;ГАЗ-сервис
GAZT;ГАЗ-Тек ао
GRAZ;Разгуляй
GTPR;ГлТоргПрод
GTSS;iГЕОТЕК ао
HALS;Галс-Девел
HIMC;Химпром ао
HIMCP;Химпром ап
IDVP;Инв-Девел
IGST;Ижсталь2ао
IGST03;Ижсталь3ао
IGSTP;Ижсталь ап
IRKT;ИРКУТ-3
ISKJ;iИСКЧ ао
JNOS;Славн-ЯНОС
JNOSP;Слав-ЯНОСп
KAZT;Куйбазот
KAZTP;Куйбазот-п
KBSB;КубаньЭнСб
KBTK;КузбТК ао
KCHE;КамчатЭ ао
KCHEP;КамчатЭ ап
KGKC;КурганГКао
KGKCP;КурганГКап
KLSB;КалужскСК
KMAZ;КАМАЗ
KMEZ;КМЗ
KMTZ;КосогМЗ ао
KOGK;КоршГОК ао
KRKN;СаратНПЗ
KRKO;ТКЗКК ао
KRKOP;ТКЗКК ап
KROT;КрасОкт-ао
KROTP;КрасОкт-1п
KRSB;Красэсб ао
KRSBP;Красэсб ап
KRSG;КраснГЭС
KSGR;Кокс ао
KTSB;КСБ ао
KTSBP;КСБ ап
KUBE;Кубанэнр
KUNF;КУЗОЦМ ао
KUZB;КузнецкийБ
KZMS;КЗМС ао
KZOS;ОргСинт ао
KZOSP;ОргСинт ап
LIFE;iФармсинтз
LNZL;Лензолото
LNZLP;Лензол. ап
LPSB;ЛЭСК ао
LSNG;Ленэнерго
LVHK;iЛевенгук
MAGE;МагадЭн ао
MAGEP;МагадЭн ап
MERF;МЕРИДИАН
MFGS;Мегион-ао
MFGSP;Мегион-ап
MGNZ;СМЗ-ао
MGTS;МГТС-5ао
MGTSP;МГТС-4ап
MISB;ТНСэнМарЭл
MISBP;МариЭнСб-п
MMBM;БМ-Банк
MNFD;МН-фонд ао
MOBB;МосОблБанк
MORI;Морион ао
MOTZ;Мотовил ао
MRKK;МРСК СК
MRKS;МРСКСиб
MRKU;МРСК Ур
MRKY;МРСКЮга ао
MRKZ;МРСК СЗ
MRSB;МордЭнСб
MSNG;Мосэнерго
MSST;iМультиСис
MUGS;МурмТЭЦ-ао
MUGSP;МурмТЭЦ-п
NAUK;iНПОНаука
NFAZ;Нефтекамск
NKHP;НКХП ао
NKNC;НКНХ ао
NKSH;Нижкамшина
NNSB;ТНСэнНН ао
NNSBP;ТНСэнНН ап
NPOF;Физика ао
NSVZ;iНаукаСвяз
OMSH;Омскшина
OMZZP;ОМЗ-ап
OPIN;ОПИН ао
OSMP;ОМПК ао
OTCP;Отисифарм
PAZA;ПавлАвт ао
PHST;Фармстанд
PLSM;Плазмек
PMSB;ПермьЭнСб
PMSBP;ПермьЭнС-п
PRIM;ПМП ао
PRMB;Приморье
RDRB;РДБанк ао
RKKE;ЭнергияРКК
RLMN;iРоллман
RLMNP;iРоллман-п
RODNP;Родина ап
ROSB;Росбанк ао
ROST;РОСИНТЕРао
RTGZ;ГазпРнД ао
RTSB;ТНСэнРст
RTSBP;ТНСэнРст-п
RU000A0ERGA7;ПИФСбер-КН
RU000A0JC5V1;ПИФАрсЖС
RU000A0JNK00;НфтФПРиР
RU000A0JNK34;ВысокиеТех
RU000A0JNPC2;ЮграРентФ
RU000A0JNUM1;ЗПИФ ФинКВ
RU000A0JNUN9;iЗПИФФинИТ
RU000A0JNUW0;Монолит-ип
RU000A0JP450;ПИФЖилПрог
RU000A0JP4U1;ПИФКапИнвб
RU000A0JP6H3;ЮграКомНед
RU000A0JP6T8;ПФЮграРант
RU000A0JP6U6;ПФТерЮгра
RU000A0JP799;ПИФБКСфно
RU000A0JPCF8;ПИФРВМ-Лог
RU000A0JPJR8;ПИФЦарМост
RU000A0JPJU2;ПИФПокрвск
RU000A0JPKJ3;ПИФОткрОбл
RU000A0JPLG7;ПИФ РВМ
RU000A0JPM71;ПИФРусТрнз
RU000A0JPMV4;ПИФРФЦ-Шув
RU000A0JPR84;ПИФКапОбл
RU000A0JPWL4;ОРЕОЛПроек
RU000A0JPY69;МихРентИП
RU000A0JQ2Q2;АнгараЗПИФ
RU000A0JQ4B0;ПИФИмп-ПФН
RU000A0JQ4Q8;ТрнфИП ТрЭ
RU000A0JQ599;ПИФИмп-Куб
RU000A0JQ5S1;БайкалСтар
RU000A0JQ797;ЗПИФАтлант
RU000A0JQC49;Афина Реал
RU000A0JQC56;АльтаирИнв
RU000A0JQFW4;ПИФМожБер
RU000A0JQPA9;ЗПИФ Рент2
RU000A0JQPF8;Рождест.ип
RU000A0JQRN8;ПИФИнвЮгры
RU000A0JQSM8;ПИФЮгра
RU000A0JQSP1;ПИФИнженер
RU000A0JQTC7;ПИФРСГ-НЖ
RU000A0JQY19;ПИФТФБ-Рен
RU000A0JQYE3;РВММегаплс
RU000A0JQYZ8;ПИФКвант
RU000A0JQZ00;ПИФСелена
RU000A0JR035;Перспект
RU000A0JR0A9;ПИФТверУс
RU000A0JR1E9;ВАбхазии
RU000A0JR282;ВТБФондАкц
RU000A0JR290;ВТБИндММВБ
RU000A0JR2A5;ВТБФондСб
RU000A0JR2C1;ВТБФондКаз
RU000A0JR2N8;ВТБфонд ДМ
RU000A0JR316;ПИФАльтИнв
RU000A0JR3F2;Перспект-2
RU000A0JR3X5;ПИФТФГСпек
RU000A0JR8H7;ПИФ ТФГакц
RU000A0JRA16;АтлантаАрт
RU000A0JRAJ0;ПИФЭнерСев
RU000A0JRE46;ПИФБизнрнт
RU000A0JREU9;ПИФОтрИнв
RU000A0JRHC0;ПИФ АТРИУМ
RU000A0JRHK3;МФКУнСтрат
RU000A0JRHL1;ПИФТехРост
RU000A0JRHR8;ПИФЗолКол
RU000A0JRNZ9;ПИФСистИнв
RU000A0JRQT5;АГАНА САкт
RU000A0JRSC7;ПИФМайлст
RU000A0JRST1;ПИФТретЗем
RU000A0JRTR3;ТринфПерсп
RU000A0JRXV7;ПИФЧетвЗем
RU000A0JS868;ПИФМдАльфа
RU000A0JS991;ПИФКоммИнв
RU000A0JS9A9;РВМСтНедв1
RU000A0JSGF3;ЗПИФКрасн
RU000A0JSSB7;Перспектив
RU000A0JT510;ПИФПротон
RU000A0JT8U8;ПИФУрлНед1
RU000A0JTCK0;Кольчуга
RU000A0JTEJ8;ЗПИФБиоТех
RU000A0JTJR0;ПИФКапИн
RU000A0JTJZ3;ПИФРацио
RU000A0JTK53;ПИФМдБета
RU000A0JTPA3;ПИФПятЗем
RU000A0JTYP3;ПИФСтрИнв
RU000A0JU0G1;ПИФПерПрК
RU000A0JUAQ9;ПИФФондКап
RU000A0JUDS9;ПИФИДжиЭст
RU000A0JUE09;ПИФМдГамма
RU000A0JUGG7;ПИФБолУрал
RU000A0JUKK1;ПИФРВМКап
RU000A0JUKR6;СЭМЭстПерв
RU000A0JUN16;ПИФ Аршин
RU000A0JUR20;ПИФНМТраст
RU000A0JUR38;ПИФСтабиль
RU000A0JUR61;ПИФ ПЕРАМО
RU000A0JUS03;СберЖлНед2
RU000A0JUTV9;РитейлИнв
RU000A0JUTW7;ИТ-сегмент
RU000A0JUUC7;КоттедПарк
RU000A0JUYK2;ПИФ Витязь
RU000A0JUZ61;Рент.Недв.
RU000A0JV7U6;ЗПИФ Страт
RU000A0JV7Y8;ПИФСтрукт
RU000A0JVEC9;Саларьево
RU000A0JVGM3;РегионНедв
RU000A0JVGN1;ЗемРесурсы
RU000A0JVRF4;СберЖлНед3
RU000A0JVUU7;Холи Лэнд
RU000A0JWAW3;СберАрБизн
RU000A0JWJA0;САФМАРПлз
RUGR;Русгрэйн
RUSI;ИКРУСС-ИНВ
RUSP;Русполимет
RZSB;РязЭнСб
SAGO;СамарЭн-ао
SAGOP;СамарЭн-ап
SARE;СаратЭн-ао
SAREP;СаратЭн-ап
SELL;Селестра
SIBG;СибГост ао
SKYC;СкайКо-ао
STSB;СтаврЭнСб
STSBP;СтаврЭнСбп
SYNG;Синерг. ао
SZPR;СЗПароход
TANL;ТАНТАЛ ао
TANLP;ТАНТАЛ ап
TASB;ТамбЭнСб
TASBP;ТамбЭнСб-п
TGKB;ТГК-2
TGKBP;ТГК-2 ап
TGKD;Квадра
TGKDP;Квадра-п
TGKN;ТГК-14
TNSE;ТНСэнрг ао
TORS;ТРК ао
TORSP;ТРК ап
TTLK;Таттел. ао
TUCH;ТКСМ ао
TUZA;ТЗА ао
UCSS;ОКС ао
UKUZ;ЮжКузб. ао
UNKL;ЮУНК ао
URFD;УКОРФ ао
URKZ;УрКузница
USBN;УралСиб ао
UTAR;ЮТэйр ао
VDSB;ВЭК 01 ао
VGSB;ВолгЭнСб
VGSBP;ВолгЭнСб-п
VJGZ;Варьеган
VJGZP;Варьеган-п
VLHZ;ВХЗ-ао
VRAO;ВостРАО ао
VRAOP;ВостРАО ап
VRSB;ТНСэнВорон
VRSBP;ТНСэнВор-п
VSYD;ВыбСудЗ ао
VSYDP;ВыбСудЗ ап
VTGK;ТПлюс ао
VTRS;iВТОРРЕСао
VZRZ;Возрожд-ао
VZRZP;Возрожд-п
WTCM;ЦМТ ао
WTCMP;ЦМТ ап
YAKG;ЯТЭК ао
YKEN;Якутскэнрг
YKENP;Якутскэн-п
YRSB;ТНСэнЯр
YRSBP;ТНСэнЯр-п
ZHIV;Живой Оф
ZILL;ЗИЛ ао
ZMZN;ЗМЗ-ао
ZMZNP;ЗМЗ-ап
ZVEZ;ЗВЕЗДА ао
USD000000TOD;USDRUB_TOD
USD000UTSTOM;USDRUB_TOM
USD000TODTOM;USD_TODTOM
EUR_RUB__TOD;EURRUB_TOD
EUR_RUB__TOM;EURRUB_TOM
EUR000TODTOM;EUR_TODTOM
EURUSD000TOD;EURUSD_TOD
EURUSD000TOM;EURUSD_TOM
EURUSDTODTOM;EURUSDTDTM
CNY000000TOD;CNYRUB_TOD
CNYRUB_TOM ;CNYRUB_TOM
CNYRUBTODTOM;CNY_TODTOM
GLDRUB_TOM;GLDRUB_TOM
GLDRUBTODTOM;GLD_TODTOM
SLVRUB_TOM;SLVRUB_TOM
SLVRUBTODTOM;SLV_TODTOM
